Aufnahmesigle;Ort;Y;X;Beleg;Auslaut;Verwendung;Kommentar
ZW--_E_01206;Schneizlkreuth;47,68;12,8;"Hacke; man braucht einen Keil und braucht einen Subi und braucht einen Schepser, auch noch eine";T;VV;
ZW--_E_01206;Schneizlkreuth;47,68;12,8;einen Keil und braucht einen Subi und braucht einen Schepser, auch noch eine Biederer: Das ist;T;VV;
ZW--_E_01206;Schneizlkreuth;47,68;12,8;ist es zu ungeeignet, ein Wiesel braucht viel Mäuse. Und der Marder, der Edelmarder,;T;VV;
ZW--_E_01207;Schneizlkreuth;47,68;12,8;Ja nur Eigenbedarf, was man braucht. Waldungen haben wir keine dabei.;T;VV;
ZW--_E_01207;Schneizlkreuth;47,68;12,8;Und wie lange braucht man?;T;VV;
ZW--_E_01207;Schneizlkreuth;47,68;12,8;Und braucht man herunter?;T;VV;
ZW--_E_01218;Stephanskirchen;47,85;12,18;auch das Straßen- und Flußbauamt so braucht, das setzen sie jetzt halt. Zur Zeit werden;NULL;VV;
ZW--_E_01228;Haimhausen;48,32;11,57;bißchen Wald auch dabei. Zwei Rosse braucht man da draußen auch wieder, weil man im Wald;T;VV;
ZW--_E_01228;Haimhausen;48,32;11,57;je nachdem, wie man es gerade braucht, wenn man sich eine Maschine anschaffen will oder sonst;T;VV;
ZW--_E_01230;Haimhausen;48,32;11,57;man viel Feldbau hat, nicht, braucht man ja alleweil wieder ein Roß, .;T;VV;
ZW--_E_01230;Haimhausen;48,32;11,57;noch alles gemacht? Mei, da braucht einmal das Richten in einem großen Anwesen. Dann braucht;T;VV;
ZW--_E_01230;Haimhausen;48,32;11,57;Richten in einem großen Anwesen. Dann braucht wieder das Richten. Da wird man nie fertig.;T;VV;
ZW--_E_01238;Siegenburg;48,75;11,85;Tut man durchforsten, nicht. Dann braucht man auch nicht mehr gar so viel nachpflanzen und das;T;MV;
ZW--_E_01238;Siegenburg;48,75;11,85;wenn man das hochprozentige hat, dann braucht man die Hälfte an Zentnern, nicht. Und braucht;T;VV;
ZW--_E_01238;Siegenburg;48,75;11,85;Hälfte an Zentnern, nicht. Und braucht man acht Liter Süßstock. Da bekämpft man die rote;T;VV;
ZW--_E_01240;Siegenburg;48,75;11,85;Wenn einer ein Ursprungszeugnis zum Beispiel braucht für den Schweinemarkt- heute gibt es ja das auch nicht mehr,;T;VV;
ZW--_E_01240;Siegenburg;48,75;11,85;dem zusammen, was die Gemeinde Geld braucht. Entweder müssen sie viel einheben, viele Prozent,;T;VV;
ZW--_E_01240;Siegenburg;48,75;11,85;wenn zum Beispiel die Gemeinde viel Geld braucht, daß sie irgendetwas bauen will, naja, dann;T;VV;
ZW--_E_01240;Siegenburg;48,75;11,85;oder für das andere. Der eine braucht einen Arbeiter rückfahrschein und so weiter. Die müssen ;T;VV;
ZW--_E_01244;Altmannstein;48,9;11,65;Roggen wird so viel gebaut, was einer zur eigenen Ernährung braucht. Und Gerste und Hafer-;T;VV;
ZW--_E_01245;Altmannstein;48,9;11,65;ein jeder, was er halt so braucht und auch zum Verkaufen im Sommer. Das sind die;T;VV;
ZW--_E_01251;Dietfurt;49,03;11,58;aufpassen muß, daß man nicht draufzahlen braucht. Draufgezahlt habe ich noch nicht, .;T;MV;
ZW--_E_01254;Berching;49,11;11,44;wir jetzt alles, was man so braucht. Der ist schön groß. Obstbäume und Gurken,;T;VV;
ZW--_E_01262;Berngau;49,25;11,4;also Rüben und was man halt so braucht ein bißchen Kraut. Was man halt selber.;T;VV;
ZW--_E_01262;Berngau;49,25;11,4;so schlecht, nicht. Ziemlich Transport braucht man da, .;T;VV;undeutlich 
ZW--_E_01265;Illschwang ;49,45;11,68;dazu! ne, ne. Regnen braucht man natürlich auch immer wieder dazwischen, ne, ne;T;VV;sehr undeutlich 
ZW--_E_01265;Illschwang ;49,45;11,68;Essen, ne, und zum Schroten braucht man fürs Vieh braucht man wieder Getreide, nicht.;NULL;VV;
ZW--_E_01266;Illschwang ;49,45;11,68;. Und was halt ein Bauer braucht so, nicht.;T;VV;
ZW--_E_01280;Nabburg;49,45;12,18;einkaufen, alles selber machen. Da braucht sich der Onkel gar nicht mehr kümmern drum, der;NULL;MV;
ZW--_E_01280;Nabburg;49,45;12,18;daß man im Frühjahr nur noch braucht und dann Kunstdünger säen und Kartoffeln hinein tun. Bis;T;VV;
ZW--_E_01280;Nabburg;49,45;12,18;werden die Runkeln halt gesät, dann braucht man das nicht mehr zu fürchten, daß es zu;;MV;
ZW--_E_01283;Luhe-Wildenau;49,58;12,15;was er selber zum eigenen Bedarf braucht, im Übrigen, daß man sagt: Obst für- zum Verkauf wird nicht recht viel anbaut. Da haben wir die richtige Lage nicht. Das ist im größten Teil ist das;T;VV;
ZW--_E_01284;Luhe-Wildenau;49,58;12,15;der fragt, ob die Invalidenversicherung- braucht er einen Auskunft, der andere, wegen am Standesamt;T;VV;
ZW--_E_01284;Luhe-Wildenau;49,58;12,15;, wegen am Standesamt und der andere braucht das und der ander braucht sell, und das muß;T;VV;
ZW--_E_01284;Luhe-Wildenau;49,58;12,15;der andere braucht das und der ander braucht sell, und das muß alles der Bürgermeister wissen.;T;VV;
ZW--_E_01284;Luhe-Wildenau;49,58;12,15;einmal zu dritt, zu viert dauert braucht man eine Arbeit. Ne, und das bringt man;NULL;VV;undeutlich 
ZW--_E_01300;Troschenreuth;49,77;11,6;Alles eisenbereift, alles auf Gummiwägen, braucht man die Wagen nicht mehr. Die hölzernen Pflüge sind;NULL;VV;
ZW--_E_01316;Laaber;49,07;11,89;hat natürlich die Mutter gesagt, jetzt braucht sie mich unbedingt- muß ich heim. Und dann;NULL;VV;
ZW--_E_01316;Laaber;49,07;11,89;gewesen. Da haben sie bloß Junge braucht zur Infanterie. Zur Infanterie haben sie mich nicht gebraucht;T;VV;
ZW--_E_01322;Gars am Inn;48,15;12,28;doch besser wandern oder was. Da braucht man nicht nachher wieder in das gleiche Kaff.;NULL;VV;
ZW--_E_01323;Gars am Inn;48,15;12,28;wenn man halt schnell man was braucht oder- daß man schnell heraus.;T;VV;
ZW--_E_01341;Postmünster;48,42;12,9;Das Pfund, wo man da mal braucht, das kaufe ich mir.;T;VV;
ZW--_E_01343;Winhöring;48,27;12,65;Na ja, er braucht nicht füttern.;NULL;MV;
ZW--_E_01361;Kirchdorf an der Amper;48,46;11,65;wir ein Sandrad gebraucht, ein Geld braucht man dann wieder auch, nicht wahr. Und so;T;VV;
ZW--_E_01361;Kirchdorf an der Amper;48,46;11,65;weil man nicht mehr so viele Gäule braucht, nicht wahr, dann kann man wieder für das;T;VV;
ZW--_E_01361;Kirchdorf an der Amper;48,46;11,65;nachher geht die Arbeit viel schneller und braucht man nicht mehr mit den Männern so umeinander schinden,;T;MV;
ZW--_E_01362;Kirchdorf an der Amper;48,46;11,65;daß man wenigstens was man zum Haushalt braucht, daß man da nähen kann.;T;VV;
ZW--_E_01363;Kirchdorf an der Amper;48,46;11,65;daß man zwei hat. Den braucht man gerade zu den Kartoffelarbeiten, zur kleinen Arbeit.;NULL;VV;
ZW--_E_01372;Furth;48,6;12,02;"nicht; bloß was man halt so braucht für den Haushalt, nicht. Das andere wurde.";T;VV;
ZW--_E_01376;Landshut;48,53;12,16;Der braucht viel Platz. Aber wir haben uns wieder einen neuen;T;VV;
ZW--_E_01376;Landshut;48,53;12,16;tun schon gut düngen. Der braucht einen guten Mist und braucht einen guten Kunstdünger.;T;VV;
ZW--_E_01376;Landshut;48,53;12,16;Der braucht einen guten Mist und braucht einen guten.;T;VV;
ZW--_E_01376;Landshut;48,53;12,16;Der braucht Sandboden?;;VV;undeutlich 
ZW--_E_01376;Landshut;48,53;12,16;Zucker, ja, weil ein Pfund braucht ein Pfund.;T;VV;
ZW--_E_01381;Oberschneiding;48,8;12,64;Na ja alles mögliche: Futter und dann Getreide und was man halt braucht, nicht.;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01388;Platting;48,78;12,87;es passieren, daß man den Tierarzt braucht, daß sich eine stickt an einem solchen Trumm,;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01388;Platting;48,78;12,87;Ja, das braucht nicht mehr kommen.;T;MV;
ZW--_E_01388;Platting;48,78;12,87;obendrein kaufen, was man zum Leben braucht und was man später im nächsten Jahr an Samen braucht;T;VV;
ZW--_E_01388;Platting;48,78;12,87; und was man später im nächsten Jahr an Samen braucht zum Ausbauen.;NULL;VV;
ZW--_E_01392;Außenzell;48,72;13,2;etwas, wo der Bauer den Schmied braucht, wo er einfach zum Schmied hingehen muß und muß;T;VV;
ZW--_E_01392;Außenzell;48,72;13,2;Achse wird nicht mehr gefahren und aso braucht der Bauer die Rosse nicht mehr. Und jetzt ein;T;VV;
ZW--_E_01392;Außenzell;48,72;13,2;andere, nicht. Wegen dem Schönsein braucht es keiner machen. Aber na ja, wenn man;T;MV;
ZW--_E_01394;Wegscheid;48,6;13,79;Da braucht man eine Halbe Bier wieder. Geht man wieder heim und in den Stall. Und so vergeht das ;NULL;VV;
ZW--_E_01394;Wegscheid;48,6;13,79;hierher, daß man nicht mehr fortfahren braucht. Der eine hat das und der andere hat das;;MV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01422;Gangkofen;48,44;12,56;Es braucht eben noch viele Jahre, bis man einigermaßen auf ein einigermaßen Niveau kommt und-;T;VV;
ZW--_E_01422;Gangkofen;48,44;12,56;kommt und- nun, gut Ding braucht eben Weile, es läßt sich nichts übers Knie brechen;T;VV;
ZW--_E_01432;Hohenwart;48,6;11,38;Ja, ja, der braucht , Schwester, da brauchen Sie mir gar nicht sagen;NULL;VV;
ZW--_E_01437;Rohrbach (Ilm) ;48,62;11,57;Wenn es weiter fehlt, dann braucht er einen Ergänzungsbeschauer, das ist der Tierarzt. Der;T;MV;"Im Audio: ""dann braucht er nicht mehr gehen zum Ergänzungsbeschauer"" "
ZW--_E_01449;Großmehring ;48,77;11,53;drin, das dau, das das braucht die ganze Fläche alle Tage, net, da treten;T;VV;
ZW--_E_01464;Wackersdorf;49,32;12,18;die Steine und das Zeug, das man eben dazu braucht und dann ist die Kirche aufgebaut worden hier hinten;;VV;Audiodatei passt nicht zum Textabschnitt 
ZW--_E_01469;Regenstauf;49,12;12,13;zu einem Wein ansetzen, da braucht man erstens einmal einen Saft, ob Johannesbeerwein oder ;NULL;VV;
ZW--_E_01488;Langenbach (Oberbayern) ;48,43;11,85;abgemäht, nicht, ja, das braucht heuen, das muß ich auch tun, aber ich;T;MV;
ZW--_E_01488;Langenbach (Oberbayern) ;48,43;11,85;ist da und alles samt, man braucht ja da eine Arbeitskraft und in den Stall will überhaupt;T;VV;
ZW--_E_01516;Bodenmais;49,07;13,1;Zum Hinaufgehen braucht man- also wir brauchen wir zum Hinaufgehen nicht ganz;NULL;VV;
ZW--_E_01516;Bodenmais;49,07;13,1;dort sein, und da braucht man natürlich ein Haufen Geld, nicht.;NULL;VV;
ZW--_E_01524;Lam;49,2;13,05;"; aber ich meine, die Jugend braucht auch ihren Teil. Und wenn' s wandern muß";T;VV;
