Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_02040;Kastl;49,82;11,9;habe ich es gerade auch nicht tun brauchen. Wenn der Sonntag gekommen ist, hat meine Mutter;NULL;
ZW--_E_02062;Plößberg;49,78;12,31;Die gehen in die Fabrik. Da brauchen sie nicht so lange arbeiten und verdienen mehr. Aber;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02062;Plößberg;49,78;12,31;das habe ich dann daheim und brauche mich nicht hinaufsetzen bei der Nacht und von den Schnaken;NULL;
ZW--_E_02063;Plößberg;49,78;12,31;auch eine Industrie hier hätten. Da bräuchten unsere Leute nicht auswärts in die Arbeit gehen. Und;NULL;
ZW--_E_02068;Tännesberg;49,53;12,33;da habe ich nicht viel exerzieren brauchen. Ich bin in die Handwerksbude hineingekommen. Da habe;NULL;
ZW--_E_02068;Tännesberg;49,53;12,33;Da hat man sich um nichts kümmern brauchen, um keine Wäsche nicht und alles frei, nicht;NULL;
ZW--_E_02074;Schönsee;49,52;12,55;ich derweile bloß untern Wind, da brauch sie sich auch nicht plagen, weil ich eben doch;NULL;
ZW--_E_02094;Cham (Oberpfalz);49,22;12,67;ich noch dann jetzt gedacht, wenigstens braucht meine Frau nichts mehr waschen. Na und dann war;NULL;
ZW--_E_02099;Cham (Oberpfalz);49,22;12,67;das soll nur die Meisterin machen, brauchst nicht heim gehen.;NULL;sehr undeutlich
ZW--_E_02102;Wiesenfelden;49,03;12,53;mehr. Wird Dir sauber gemacht, brauchst Dich nicht zu kümmern drum, guter Mann. Da;NULL;
ZW--_E_02102;Wiesenfelden;49,03;12,53;die für Gelder einnehmen, nicht, brauchen sie auch das Unsere nicht zu wissen ;NULL;
ZW--_E_02102;Wiesenfelden;49,03;12,53;Das kriegen wir schon wieder weg. Brauchst Dich nicht kümmern.;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02108;Sünching;48,88;12,35;man sie aufheben, nicht, man braucht's nicht verfüttern, weil man's aufheben kann wenn man's eben;NULL;
ZW--_E_02110;Sünching;48,88;12,35;warte, das ist wurst, dann brauche ich nicht zweimal Koffer packen jetzt, na ja,;NULL;
ZW--_E_02115;Mengkofen ;48,72;12,43;richten wir schon alles zusammen, da brauche ich mich nicht sorgen.;NULL;
ZW--_E_02123;Arnstorf;48,57;12,82;keinen Ausgleich und nimmer nichts mehr zahlen brauchen. Und wenn die mit dem da die deutsche Wehrmacht;NULL;
ZW--_E_02123;Arnstorf;48,57;12,82;Leute, die, die, die brauchen etwas zu fressen. Aber- lieber stimmt die Tischplatte;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02127;Vilsbiburg;48,45;12,35; hast du es schön. Du brauchst bloß läuten und dann gehst du in die Messe und;NULL;
ZW--_E_02138;München ;48,14;11,58;halt, er war's nicht. Da braucht man bloß in die Zeitung reinschauen, gerade die Kerle;NULL;
ZW--_E_02139;München ;48,14;11,58;sage ich mein Sprüchel auf, und brauchen Sie bloß alleweil dem Geruch nachgehen, dann fehlt Ihnen;NULL;
ZW--_E_02150;Pöttmes;48,58;11,1;nicht. Haben sie gesagt, ich brauche nicht so einheizen, nicht, wir müssen Betten hinein;NULL;
ZW--_E_02151;Pöttmes;48,58;11,1;Nein, nein, da braucht er nichts zu zahlen, wenn die Kuh nicht aufnimmt;NULL;
ZW--_E_02183;Norden;53,6;7,21;die Aufteilung von Norden nimmt, dann brauchen sie sich auch hier nicht zu verlaufen. Sie können;NULL;
ZW--_E_02198;Neustadt am Rübenberge;52,51;9,46;wird das gleich kaputt, dann braucht keiner mehr von uns schneiden zu. Da ist bloß;NULL;sehr undeutlich
ZW--_E_02218;Salzhemmendorf;52,07;9,58;wo bloß Rindfleisch geschlachtet wird. Da brauchte ich natürlich keine Kundschaft zu gehen, ich bin aber;ZU;
ZW--_E_02243;Achim;53,01;9,03;nun nicht mehr, nicht, die braucht man ja nicht mehr zu bezahlen dann.;ZU;
ZW--_E_02250;Rotenburg (Wümme) ;53,11;9,4;den Hof, und, und Schuhe brauchte ich nicht zu putzen, ich konnte dann, ich;ZU;
ZW--_E_02259;Stade;53,6;9,48;Da braucht man ja nicht mehr zu rubbeln.;ZU;
ZW--_E_02272;Goslar;51,91;10,43;daß sie uns nicht erst zu rufen brauchten, wenn sie uns suchten. Na, und dort;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02285;Lehrte;52,37;9,98;war sie dann schon ganz fertig und brauchten wir auch gar keine Angst zu haben, das ging;ZU;
ZW--_E_02303;Einbeck;51,82;9,87;versprengt Soldaten kamen, ach nein, brauchten keine Angst zu haben, der Russe würde zurückgeschlagen.;NULL;
ZW--_E_02313;Einbeck;51,82;9,87;sind fast ganz verschwunden. Einzelne Sachen brauchen wir bloß noch zu machen. Früher nahmen sie äh;ZU;
ZW--_E_02329;Uehrde;52,1;10,77;hatte man noch Essen genug! Da brauchte man nicht einzuteilen. Da bin ich dann von Simstedt;ZU;
ZW--_E_02331;Helmstedt;52,23;11,01;sagte der Lehrer auch immer, wir brauchten nicht kommen nach der Schule, wir sollten zu Haus;NULL;
ZW--_E_02337;Meinersen;52,47;10,37;wir hatten da- na man brauchte höchstens fünfzehn Kilometer fahren, dann war man an der;NULL;
ZW--_E_02372;Süderhackerstedt;54,6;9,27;Tot arbeiten braucht man sich ja nicht dabei, aber ein großes Gehalt;NULL;
ZW--_E_02384;Klanxbüll;54,86;8,68;daß die Siedler sozusagen sich bloß hinsetzen brauchen und loswirtschaften können, das ist eine große Erleichterung;NULL;
ZW--_E_02423;Katharinenheerd;54,33;8,83;wohl sagen, äh, äh, brauchen wir nicht drunter leiden. Ich habe kein Wasser im;NULL;
ZW--_E_02423;Katharinenheerd;54,33;8,83;immer, hier die Eiderstedter, die brauchen nicht arbeiten, das ist ein ganzer bequemer.;NULL;
ZW--_E_02424;Südheistedt;54,12;9,22;Denn brauchen wir nicht weit zu laufen.;ZU;
ZW--_E_02425;Südheistedt;54,12;9,22;Und so brauchen wir uns ja nicht so viele Kohlen zu kaufen, nicht?;ZU;
ZW--_E_02427;Norderheistedt;54,25;9,15;dann sie dann unbedingt nicht das Wasser brauchen trinken, denn gehen sie nicht bei, ?;NULL;
ZW--_E_02427;Norderheistedt;54,25;9,15;ist da so ein Andrang, da braucht man gar nicht so mit rechnen, dass man da;NULL;
ZW--_E_02456;Seestermühe;53,7;9,57;Wettbewerb in das vereinte Europa, dann brauchen wir auch den Konkurrenz nicht zu fürchten, denn Holland;ZU;
ZW--_E_02471;Bosau;54,1;10,43;Ja, meinen Namen brauche ich nicht zu sagen, ?;NULL;undeutlich
ZW--_E_02471;Bosau;54,1;10,43;Nein, den brauchen Sie nicht zu sagen.;ZU;undeutlich
ZW--_E_02486;Fehmarn;54,44;11,19;ich rauskam und nicht im Büro sitzen brauchte. Und heute habe ich mich da allmählich reingearbeitet und;NULL;
ZW--_E_02492;Neustadt (Wied);50,62;7,43;geholt, das Gelächter von dem Gastwirt brauche ich wohl gar nicht zu erwähnen, und brauchst ja;ZU;
ZW--_E_02492;Neustadt (Wied);50,62;7,43;wohl gar nicht zu erwähnen, und brauchst ja aber nicht zu machen. Ich bin aber wieder;ZU;
ZW--_E_02492;Neustadt (Wied);50,62;7,43;Na, was drinne war, brauche ich dir auch gar nicht erst zu sagen. Ich;ZU;
ZW--_E_02492;Neustadt (Wied);50,62;7,43;wieder heim und hole meine, da brauche ich nicht mehr zu erzählen. Nun macht's gut bis;ZU;
ZW--_E_02555;Nickenich;50,41;7,33;dann kann man ja auf sozialem Wege braucht man ja nicht zu denken, daß am Haushalt was;ZU;
ZW--_E_02555;Nickenich;50,41;7,33;ja, wir kriegen ja Geld da braucht ihr euch nicht aufzuregen, und da können wir das;ZU;
ZW--_E_02555;Nickenich;50,41;7,33;das Schönste für eine Frau ist wir brauchen nichts zu kochen. Wir kriegen Sauerkraut, wir kriegen;ZU;
ZW--_E_02555;Nickenich;50,41;7,33;näher wie die Eifel, denn wir brauchen ja nur sechs Kilometer bis nach Andernach zu fahren,;ZU;
ZW--_E_02559;Hambuch;50,23;7,18;wäre, dann hätte ich keine Lehrzeit brauchen zu machen, und so habe ich die Lehrzeit müssen;ZU;
ZW--_E_02561;Hambuch;50,23;7,18;"kennen sie im Moselland alle, ich brauch mich nirgends zu legitimieren"". "" Ja, das ist";ZU;
ZW--_E_02562;Hambuch;50,23;7,18;hat, wo man noch keine Ängste brauchte zu haben, man gäbe auf der Straße von einem;ZU;
ZW--_E_02563;Zilshausen ;50,11;7,38;bindet das und schmeißt die Garbe 'raus braucht man sie nur aufstellen zu gehen, und wenn sie;ZU;
ZW--_E_02577;Bornich;50,13;7,77;kann man nur den Krahnen aufdrehen und brauchen kein Wasser zu holen. Ich hatte ja in der;ZU;
ZW--_E_02577;Bornich;50,13;7,77;alles leichter schaffen. Aber, wir brauchen auch nicht mehr so groß zu quälen, nicht wahr;ZU ;undeutlich
ZW--_E_02577;Bornich;50,13;7,77;jetzt hat man auch Heuwender, jetzt brauch man nicht alles mit der Hand zu machen. Kann;ZU;
ZW--_E_02577;Bornich;50,13;7,77;hat man es ganz schön. Da braucht man nicht mehr zu binden, das bindet alles selbst;ZU;
ZW--_E_02578;Bornich;50,13;7,77;nicht? Wir haben da keinen Hunger brauchen leiden. Und denn mußten wir gehen in die Küche;ZU;
ZW--_E_02583;Alken;50,25;7,45;im Sommer, bei klarem Wasser, brauchen wir ja nicht viel zu arbeiten, dann sagen sie;ZU;
ZW--_E_02604;Alfter;50,74;70,1;nachher auch ein bißchen übertrieben, da brauchte ich wenigstens keine Schubkarre zu fahren. Das hatten sie;ZU;
ZW--_E_02608;Weilerswist;50,75;6,84;Und wie ich heim kam- ich brauchte nicht viel mehr zu sagen- mein Vater, der;ZU;
ZW--_E_02608;Weilerswist;50,75;6,84;schon die Karre Klee gehauen. Da brauchte ich nichts mehr zu sagen. Ich habe auf gewartet;ZU;
ZW--_E_02611;Bad Münstereifel;50,56;6,76;die Arbeit gemacht hatten. Ich selbst brauchte überhaupt die Schularbeiten nicht zu machen. Wenn ich nach;ZU;
ZW--_E_02611;Bad Münstereifel;50,56;6,76;hätte mich so gut geschickt, ich brauchte nichts zu machen. Mein Vater, der hatte damals;ZU;
ZW--_E_02611;Bad Münstereifel;50,56;6,76;das Gedicht vorsagen lassen. Und da brauchte ich mich nie zu beklagen, und da konnte ich;ZU;
ZW--_E_02613;Bad Münstereifel;50,56;6,76;weil die Lehrer denken, wir brauchten keinen Wert auf die schlanke Linie zu legen.;ZU;
ZW--_E_02613;Bad Münstereifel;50,56;6,76;Es war ganz schlimm. Wir brauchten die ganze Stunde nichts zu tun, weil die Lehrerin;ZU;
ZW--_E_02635;Düren;50,8;6,48;und Köln, na ja, da brauch man ja nicht drüber sprechen, das ist ja in;ZU;
ZW--_E_02640;Elsdorf;50,93;6,57;Und wer den Backofen stochte, der brauchte den Teig nnicht zu machen. Das ließen wir umgehn;ZU;
ZW--_E_02644;Geistenbeck;51,2;6,43;hätte es aber auch nicht zu sagen brauchen, daß- der Ochse wäre auch so nachgekommen.;NULL;
ZW--_E_02650;Jüchen;51,1;6,5;daß man unterwegs nicht mehr zu waschen brauchte. Der Tag, der kam heran. - Ach;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02651;Jüchen;51,1;6,5;ein bißchen pädagogisches Geschick hätte. Er brauchte nicht zu betonen, das sagte er dabei, daß;ZU;
ZW--_E_02702;Wackernheim;49,97;8,12;aber trotzdem, man braucht ihn nicht zu verachten.;ZU;
ZW--_E_02711;Nackenheim;49,92;8,34;gab nichts, was wir nicht mitmachen brauchten. In der ganzen Ernte, ob das beim Roggen;NULL;
ZW--_E_02711;Nackenheim;49,92;8,34;unser Holz selber gemacht und und das brauchten wir nicht nicht zu bezahlen, wir mußten aber dafür;ZU;
ZW--_E_02717;Bechtheim;49,73;8,29;Man braucht nicht mehr so schwer zu heben- mehrstenteils wird es;ZU;
ZW--_E_02719;Bechtheim;49,73;8,29;Ja, Sie brauchen Zuhause wenig zu arbeiten. Wer kocht denn bei?;ZU;
ZW--_E_02719;Bechtheim;49,73;8,29;hat gesagt, daß der droben geht brauchst du keine Angst zu haben auf der Chaussee. Und;ZU;
ZW--_E_02719;Bechtheim;49,73;8,29;geh rauf in dein Bett, was brauchst du dich dort daheim zu setzen, wenn's dir nicht;ZU;
ZW--_E_02727;Darmstadt;49,87;8,65;Der ist ja bald alle. Da brauche ich ja gar keinen mehr zu verkaufen ;ZU;
ZW--_E_02727;Darmstadt;49,87;8,65;dem bleibt nichts mehr übrig. Da brauchst nichts mehr zu verkaufen ;ZU;
ZW--_E_02735;Modautal;49,77;8,72; wenn man sie nicht schneiden zu brauchen, wenn man ziemlich kleine hat, die wachsen besser;ZU;
ZW--_E_02735;Modautal;49,77;8,72;Da braucht man sie nur aufzulesen, das ist auch schön,;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02754;Neckarsteinach;49,41;8,84;heute jetzt alles umgestellt die schweren Arbeiten brauchen nicht mehr verrichtet zu werden- die Schiffahrt selbst so;ZU;
ZW--_E_02755;Neckarsteinach;49,41;8,84;nachher hat man das nicht zu machen brauchen. Aber mit dem Korn hat man dann im Herbst;ZU;
ZW--_E_02765;Neuenkirchen;53,58;13,35;in Nachbarshänden. Die Familie und Anverwandten brauchen sich darum nicht zu kümmern. Eins, zwei,;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02790;Nordhorn;52,43;7,07;wir ja auch immer sonntags, da brauchten wir nicht helfen, und da hatten wir immer was;NULL;
ZW--_E_02793;Nordhorn;52,43;7,07;auch mit dem 'Schlitzhaken' aushauen. Dann braucht man es nicht mehr auszustemmen;ZU;
ZW--_E_02799;Wilsum;52,52;6,83;es ist ja auch freiwillig, sie brauchen ja auch nicht mehr essen als sie mögen. Und;NULL;
ZW--_E_02806;St. Mauritz;51,96;7,63;Tag so vier Zigarren dabei. Tun brauche ich eigentlich gar nichts. Aber zum Zeitvertreib tut man;NULL;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02812;Bad Laer;52,1;8,09;"und sagt: "" Jung, den brauchst du nicht durchschneiden. Das kannst du den kannst du";NULL;
ZW--_E_02817;Heek;52,12;7,1;Aber da kam keiner gegen an! Brauchst du mir nicht glauben. Aber ein so ein Besoffener;NULL;
ZW--_E_02819;Vreden;52,03;6,83;Und das Schönste ist: Wir brauchen nichts zu bezahlen! Das Bezahlen tun die beiden Paten;ZU;
ZW--_E_02835;Bocholt;51,83;6,62;dann die Schleppharke hinter nach, da brauchten wir das ja nicht mehr machen, und dann wurde;NULL;
ZW--_E_02838;Hamminkeln;51,73;6,59;hier noch kurz vor der Tür. Brauchen gar nicht weit zu laufen, in fünf Minuten,;ZU;sehr undeutlich
ZW--_E_02852;Bottrop;51,52;6,93;Grasmäher kamen auf, ah, dann brauchten wir nicht mehr so viel zu mähen. Ja,;NULL;
ZW--_E_02855;Recklinghausen;51,62;7,2;schlecht wach. Und meine Schwester die brauchte nur einmal geweckt zu werden und schon war sie aus;NULL;
ZW--_E_02856;Recklinghausen;51,62;7,2;Na ja, wenn er nicht laufen braucht, dann hatte er ja auch keine Ausrede mehr.;NULL;
ZW--_E_02864;Hattingen ;51,4;7,19;so Bonbons in der Tasche und dann brauchte er nur zu rufen, dann kamen sie immer.;ZU;
ZW--_E_02865;Hattingen ;51,4;7,19;Ich kenne alles ganz genau, ich brauche keinen nicht zu fragen, keinen. Ich habe früher;NULL;
ZW--_E_02865;Hattingen ;51,4;7,19;anders kann ich ja nicht und brauch nicht davon abgehen. Sonntag, Montag, Dienstag,;NULL;
ZW--_E_02866;Hattingen ;51,4;7,19;Ja, bei uns- wir brauchten nicht viel suchen im Sommer. Fleisch war immer da;NULL;
ZW--_E_02874;Kierspe;51,13;7,57;essen als im Sommer. Denn sie brauchten sich ja auch nicht so anzustrengen. Das ging dann;ZU;
ZW--_E_02879;Altena;51,29;7,67;nachher noch wieder angehäufelt, und mehr brauchen wir da nicht dran zu tun. Das andere,;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_02885;Iserlohn;51,38;7,67;man direkt eine gute Gemeinschaft. Das braucht nicht direkt einer hier aus dem Dorf zu sein oder;ZU;
ZW--_E_02895;Herdecke;51,4;7,43;abends immer geübt mit. Das Pferd brauchte dann über Tag nicht arbeiten, war das ein bißchen;NULL;
ZW--_E_02911;Haltern am See;51,75;7,18;mit dem Selbstbinder alles, dann brauchten wir ja bloß sich auf setzen. Aber früher mußten;NULL;
ZW--_E_02920;Coesfeld;51,94;7,17;vierzehn Morgen fünfzehn Morgen Rotklee, da brauchten wir nicht die Hälfte verfuttern im Sommer, da wurde;NULL;
ZW--_E_02923;Bad Laer;52,1;8,09;du bleibst doch gleich hier, dann brauchst du dich nicht mehr so zu beeilen. Ja,;NULL;
ZW--_E_02929;Osnabrück;52,27;8,05;Du brauchst es mir ja gar nicht ganz genau erzählen!;NULL;
ZW--_E_02961;Münster (Westfalen) ;51,96;7,63;Ballen auf dem Kamp liegen. Da braucht man abends bloß hin fahren und nach Haus holen,;NULL;
ZW--_E_02961;Münster (Westfalen) ;51,96;7,63;"Cheiselon oder auf das Bett, dann brauchte ich bloß einmal zu sagen: "" Prinz, komm";NULL;
ZW--_E_02962;Münster (Westfalen) ;51,96;7,63;Schützenfest hinter sich, nicht. Das braucht ja nicht immer in Saufferei auszuarten, so was,;NULL;
ZW--_E_02977;Ascheberg;51,78;7,62;äh, bin ich ja alt und brauch auch nicht mehr arbeiten ;NULL;
ZW--_E_03006;Olpe;51,03;7,85;man so langsam alt! Und da braucht man sich den Bart nicht stehen lassen, und auch;ZU;
ZW--_E_03022;Medebach;51,2;8,71;das ging auf einen Schein. Die brauchten sie mir gar nicht, das andere Jahr erst bezahlen;NULL;
ZW--_E_03026;Medebach;51,2;8,71;daß wir denn daß die denn nicht brauchten lange aussetzen, daß sie auch wieder fahren konnten,;NULL;
ZW--_E_03036;Eslohe;51,25;8,17;eigene Sprache immer mehr verlernen, es brauchte wirklich nicht sein. Ich habe schon manchen Leuten gesagt;NULL;
ZW--_E_03037;Eslohe;51,25;8,17;wenn viel Schnee war, da brauchten wir nämlich nicht zu gehen, das war ja auch ;ZU;
ZW--_E_03054;Anröchte;51,57;8,33;böse über unser Lachen, aber wir brauchten unsern Fritz bloß ansehen, da schüttelten wir uns richtig;NULL;
ZW--_E_03054;Anröchte;51,57;8,33;ganze Nachmittag ein bißchen verplempert, wir brauchten bloß an die Tigergeschichte denken, da ging eben,;NULL;
ZW--_E_03057;Anröchte;51,57;8,33;dort ist der Stein dann- natürlich braucht er nicht zu sprengt werden um und und durch die;ZU;
ZW--_E_03058;Anröchte;51,57;8,33;sind nun so fein modern, sie brauchen die tiefen Bohrlöcher nicht mehr zu machen, wenn sie;ZU;
ZW--_E_03065;Ahlen;51,76;7,89;arbeiten, die Ostpreußen. Die hier brauchen ja auch das nicht arbeiten. Das ist auch denn;NULL;
ZW--_E_03072;Bad Salzuflen ;52,09;8,75;so viel, daß ich nicht verhungern brauche und leben kann. Und damit bin ich zufrieden.;NULL;
ZW--_E_03073;Bad Salzuflen ;52,09;8,75;wenn man das dann klarmacht, ihr braucht euren Dreck nicht mehr wegbringen, sondern wir holen ihn;NULL;
ZW--_E_03084;Bad Oeynhausen;52,2;8,8;Lehrzeit war eigentlich drei Jahre, ich brauchte aber nur zwei Jahre lernen, .;NULL;
ZW--_E_03103;Petershagen;52,38;8,97;einen Seite war die Weser, da brauchten wir nicht aufzupassen. Aber anderen Seite da waren alle;ZU;
ZW--_E_03103;Petershagen;52,38;8,97;wir ihn hinter die Kühe. Dann brauchten wir bloß zu sagen: Fanni hol sie mal rum;ZU;
ZW--_E_03103;Petershagen;52,38;8,97;wenn wir die Kühe nicht zu hüten brauchten, dann mußten wir Kinder auch in der Ernte schon;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03103;Petershagen;52,38;8,97;Und im Winter wurde gedroschen, da brauchten die Kinder dann nicht zu, zu helfen. es;ZU;undeutlich
ZW--_E_03104;Petershagen;52,38;8,97;die Weser mit den Kühen. Wir brauchten die da nicht zu hüten, denn die Kuhweide war;ZU;
ZW--_E_03107;Warmsen;52,45;8,85;sie ja all mit Mähdrescher an, brauchen sie gar nicht erst hereinzuholen. Wird so vom Land;ZU;
ZW--_E_03137;Lienen;52,15;7,97;die Pelle fast herunter war. Dann brauchten wir gar nicht viel schälen. Die wurden dann so;ZU;
ZW--_E_03143;Borgholzhausen;52,1;8,3;Jahre alt. Na ja, das brauche ich ja alles nicht aufzählen. Ich wollte aber man;NULL;
ZW--_E_03156;Harsewinkel;51,97;8,23;hat zu meiner Tochter gesagt, sie braucht sich keine Hoffnung machen, daß ich noch mal wieder;NULL;
ZW--_E_03158;Harsewinkel;51,97;8,23;verkaufte die für fünf Pfennige, und brauchte zu Hause nur vier Pfennig davon abgeben. ;NULL;
ZW--_E_03167;Grebensteil;51,45;9,42;daß wir den ledig Hafer machen brauchten und dann immer das Gepliere hatten. Na ja,;NULL;
ZW--_E_03174;Fuldatal;51,35;9,53;gab's auch mal was anderes. Man brauchte nicht bloß immer leben von Fleisch und Wurst, man;NULL;
ZW--_E_03180;Wolfhagen;51,33;9,17;Also, die kleinen Harken, die braucht man nur noch zum Wagen abharken. Sonst werden sie;NULL;
ZW--_E_03180;Wolfhagen;51,33;9,17;Trecker davor und der Binder, dann braucht man bloß die Garben noch aufzustellen. Dann geht es;ZU;
ZW--_E_03188;Waldeck;51,2;9,07;wir machen's mit der Scheibenegge, dann braucht man's nur noch einmal mit den Saateggen zu eggen,;ZU;
ZW--_E_03191;Korbach;51,27;8,87;wir auch ein Haus bauen, dann brauchten wir auch nicht viel mehr Geld auf die Beine zu bringen;ZU;
ZW--_E_03194;Bad Wildungen ;51,12;9,12;wird noch mit Pferden gemacht, da brauchen die Weibsleute garnicht mit zu helfen. Und dann kommt's;ZU;
ZW--_E_03196;Bad Wildungen ;51,12;9,12;die Rampe, wirds geschmissen, da braucht mans bloß auseinander zu machen. Das ist leichter,;ZU;
ZW--_E_03205;Frankenberg (Eder) ;51,06;8,8;Kartoffeln alle hübsch auseinandergeschmissen, und brauchen sie nur aufzulesen.;ZU;
ZW--_E_03205;Frankenberg (Eder) ;51,06;8,8;brauchen sie nur aufzulesen. Und brauchen sie zu sortieren und in die Körbe zu machen.;ZU;
ZW--_E_03232;Antrifttal;50,77;9,18; und heut wird alles gebindert. Braucht man kein Lensel mehr zu machen. Das braucht man;ZU;
ZW--_E_03233;Antrifttal;50,77;9,18;hatte ich so eine Fertigmontagedecke, die brauchte nur noch ein bißchen mit Beton ausgegossen zu werden.;ZU;
ZW--_E_03233;Antrifttal;50,77;9,18;damit man nicht mehr so zu leiern braucht dabei. Viele haben auch noch ;ZU;
ZW--_E_03233;Antrifttal;50,77;9,18;damit die Maschine nicht doppelt gewaschen braucht zu werden. Denn die Cervelatwurst, ;ZU;
ZW--_E_03237;Mücke;50,62;9,03;Früher da sind zwei Kirmesse hier gewesen, da brauchte überhaupt kein Winter zu kommen;ZU;
ZW--_E_03245;Hirzenhaim;50,39;9,14;sind ja nur drei Mann und da brauchen wir nicht so viel zu tun. Abends ist dann;ZU;
ZW--_E_03256;Bad Soden-Salmünster;50,28;9,37;Wir waren ziemlich Schwestern, da brauchten wir's so doll doch nicht zu machen mit der Arbeit. ;ZU;
ZW--_E_03278;Herbstein;50,55;9,35;Wenn man gutes Wetter hat, braucht sie bloß acht Tage zu stehen;ZU;
ZW--_E_03295;Haunetal;50,77;9,67;wir wollen die Kühe ein bißchen auf die Weide tun, dann brauchen wir nicht zu füttern.;ZU;
ZW--_E_03295;Haunetal;50,77;9,67;Da hat man leichter arbeiten. Da braucht man sich nicht mehr so zu quälen;ZU;
ZW--_E_03301;Eiterfeld;50,77;9,8; da brauchte ich mich nicht so zu fürchten, wie wenn ich allein war;ZU;
ZW--_E_03324;Braunlage;51,73;10,61;da brauchte das Wasser das nicht nicht durch den Graben abgefangen zu werden;ZU;
ZW--_E_03324;Braunlage;51,73;10,61;sie nicht mehr zu rücken. Sie brauchen höchstens mal ein bißchen Brennholz an die Wege setzen.;NULL;
ZW--_E_03329;Walkenried;51,59;10,62;es ja auch ganz gut, da brauchte ich nicht mehr so zu rennen und zu hasten,;ZU;
ZW--_E_03340;Neu Wulmstorf;53,47;9,8;Was nun nicht nötig tut, man braucht auch keine Löcher mehr zu machen und.;ZU;
ZW--_E_03346;Regesbostel;53,37;9,65;so vor dem Hund weg, dann braucht er sie nicht zu beißen. Oder er faßt sie;ZU;
ZW--_E_03346;Regesbostel;53,37;9,65;Sie brauchen bei den Schafen nicht zu schlafen?;ZU;
ZW--_E_03363;Selsingen;53,37;9,22;Doch ich hatte aber Glück und brauchte da keine Nacht mehr zu bleiben da ging's nachmittags weiter;ZU;
ZW--_E_03363;Selsingen;53,37;9,22;Lager gelegen, haben nicht zu arbeiten brauchen, gehungert haben wir auch nicht, hungert ja hungrig;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03364;Selsingen;53,37;9,22;Arbeit für, dann brauchen sie nicht zu fahren.;ZU;
ZW--_E_03367;Beverstedt;53,43;8,82;Wie lange braucht man wohl einen Männerstrumpf zu stricken?;ZU;
ZW--_E_03370;Beverstedt;53,43;8,82;Aber wer das nicht kennt, der brauchte da nicht bei zu gehen. Da kam hier mal;ZU;
ZW--_E_03371;Beverstedt;53,43;8,82;und die klemmte sich. Und dann brauchten sie da gar keinen Riegel da wieder vor zu machen;ZU;
ZW--_E_03371;Beverstedt;53,43;8,82;uns ab. Das heißt, das brauchten sie uns gar nicht zu sagen, das war selbstverständlich;ZU;
ZW--_E_03371;Beverstedt;53,43;8,82;für meinen Mann, und der äh braucht das noch nicht vorher zu wissen. Und als ich;ZU;
ZW--_E_03379;Schwanewede;53,23;8,6;anstecken. Daß man morgens bloß anzustecken brauchte. Und dann ging am anderen Morgen das Backen dann;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_03383;Schwanewede;53,23;8,6;wir kriegten unser bißchen Kram fertig und brauchten niemanden um Hilfe zu betteln.;ZU;
ZW--_E_03387;Worpswede;53,22;8,93;"Tragbäume, daß wir nichts zu hinzuschleppen brauchen, daß wir alles ins Schiff gleich mitkriegen!"" Und";ZU;
ZW--_E_03413;Egestorf;53,19;10,06;kriegte für das ganze Jahr, brauchte aber nicht bloß Kühe da hüten,;NULL;
ZW--_E_03414;Egestorf;53,19;10,06;dann kamen wir wieder zurück und dann brauchten wir nicht mehr zu arbeiten, das war immer ein;ZU;
ZW--_E_03416;Neuenkirchen (Lüneburger Heide);53,03;9,71;Und da hatten sie sich so angewöhnt, ich brauchte bloß mit dem Nagel an meine Buddel [Flasche] zu klopfen;ZU;
ZW--_E_03416;Neuenkirchen (Lüneburger Heide);53,03;9,71;nun keine Uhr hatte damals, der brauchte bloß abends auf meine Enten zu achten. ;ZU;
ZW--_E_03416;Neuenkirchen (Lüneburger Heide);53,03;9,71; Aber ich brauchte mich bloß zu melden, dann waren wieder sie da;ZU;
ZW--_E_03423;Bremen;53,08;8,81;Ausschlagen kam einer alleine, da ee da, da braucht kein anderer bei zu sein;ZU;
ZW--_E_03427;Blender;52,92;9,13;Nein, die haben wir nicht hüten brauchen, nicht. Aber nach dem Melken;NULL;
ZW--_E_03438;Kirchlinteln;52,94;9,32; weil die Leute jetzt alle Pfannen brauchen tun. Und da haben wir das angefangen ;NULL;
ZW--_E_03438;Kirchlinteln;52,94;9,32;wir heute bloß noch den vierten Teil von der Kohle brauchen tun,;NULL;
